日期,人均vv对照组,人均vv实验组,日期,人均播放时长对照组,人均播放时长实验组,日期,人均曝光对照组,人均曝光实验组
2018-04-13,26.06461002612265,26.06926661761099,2018-04-13,326.6165194675955,322.43865587441746,2018-04-13,30.8028431800481,31.06405821305022
2018-04-14,26.52410366284503,26.845317096531435,2018-04-14,331.9111070590112,331.0616861645116,2018-04-14,31.266764981686155,31.469912162216165
2018-04-15,26.762563576128038,26.54729745656837,2018-04-15,345.68946852690027,341.68983805954315,2018-04-15,30.995184696569922,30.915438433609097
2018-04-16,26.215382094280876,26.426879208465028,2018-04-16,323.9670890916043,327.2216023086437,2018-04-16,30.40765793543123,30.552498548185948
2018-04-17,25.777656288439985,25.777601381461675,2018-04-17,324.26881338326547,326.12360739750443,2018-04-17,30.0836969531331,29.787599387808427
2018-04-18,26.410053051819304,25.742482502973804,2018-04-18,337.680617330261,331.6053002849318,2018-04-18,30.382005179293884,29.60977152706469
2018-04-19,25.571758894319196,26.357581237328073,2018-04-19,330.70405696568395,329.82500410981424,2018-04-19,29.99141369629017,29.922703244622674
2018-04-20,25.077827095732875,25.673562551125418,2018-04-20,323.49394734187433,313.4995118347099,2018-04-20,29.6777956694532,29.38923696576415
2018-04-21,26.103525152859635,26.87125253325258,2018-04-21,335.8285764739642,333.3911109040509,2018-04-21,31.229145728643218,30.958637259443627
2018-04-22,27.25519998242878,28.130781938325992,2018-04-22,355.0071602714753,356.15583700440527,2018-04-22,31.95356729536142,31.743369599495427
